,삼시세끼
0,개성고등학교
1,경남고등학교
2,경남여자고등학교
3,경일고등학교
4,기장고등학교
5,광혜원고등학교
6,괴산고등학교
7,국원고등학교
8,금천고등학교
9,단양고등학교
10,대금고등학교
11,매괴고등학교
12,목도고등학교
13,보은고등학교
14,보은여자고등학교
15,봉명고등학교
16,산남고등학교
17,상당고등학교
18,서원고등학교
19,서전고등학교
20,세광고등학교
21,갈산고등학교
22,강경고등학교
23,강경상업고등학교
24,건양대학교병설건양고등학교
25,공동체비전고등학교
26,공주고등학교
27,공주금성여자고등학교
28,공주대학교사범대학부설고등학교
29,공주마이스터고등학교
30,공주생명과학고등학교
31,공주여자고등학교
32,공주영명고등학교
33,광천제일고등학교
34,금산고등학교
35,금산산업고등학교
36,금산여자고등학교
37,강호항공고등학교
38,고산고등학교
39,고창고등학교
40,고창북고등학교
41,고창여자고등학교
42,군산고등학교
43,군산기계공업고등학교
44,군산동고등학교
45,군산여자고등학교
46,군산영광여자고등학교
47,군산제일고등학교
48,군산중앙고등학교
49,군산중앙여자고등학교
50,김제농생명마이스터고등학교
51,김제여자고등학교
52,강진고등학교
53,고흥고등학교
54,고흥도화고등학교
55,고흥산업과학고등학교
56,곡성고등학교
57,광남고등학교
58,광양고등학교
59,광양백운고등학교
60,광양여자고등학교
61,광양제철고등학교
62,광영고등학교
63,구례고등학교
64,구림공업고등학교
65,나주고등학교
66,나주공업고등학교
67,경구고등학교
68,경북간호고등학교
69,경북과학고등학교
70,경북기계금속고등학교
71,경북식품과학마이스터고등학교
72,경북외국어고등학교
73,경북일고등학교
74,경북조리과학고등학교
75,경북체육고등학교
76,경북항공고등학교
77,경산고등학교
78,경산과학고등학교
79,경산여자고등학교
80,경산여자상업고등학교
81,경안고등학교
82,간디고등학교
83,거제고등학교
84,거제공업고등학교
85,거제여자상업고등학교
86,거제옥포고등학교
87,거제제일고등학교
88,거창고등학교
89,거창공업고등학교
90,거창대성고등학교
91,거창여자고등학교
92,경남간호고등학교
93,경남고성음악고등학교
94,경남과학고등학교
95,경남로봇고등학교
96,경남예술고등학교
97,남녕고등학교
98,대정고등학교
99,서귀포산업과학고등학교
100,오현고등학교
101,제주과학고등학교
102,제주외국어고등학교
103,제주제일고등학교
104,강동고등학교
105,경북기계공업고등학교
106,경북여자고등학교
107,경상고등학교
108,경상여자고등학교
109,경일여자고등학교
110,계성고등학교
111,다사고등학교
112,달구벌고등학교
113,달서고등학교
114,달성고등학교
115,대건고등학교
116,강남영상미디어고등학교
117,강화고등학교
118,강화여자고등학교
119,덕신고등학교
120,미추홀외국어고등학교
121,고려고등학교
122,광덕고등학교
123,광주고등학교
124,광주과학고등학교
125,광주대동고등학교
126,광주동성고등학교
127,광주동신고등학교
128,광주서석고등학교
129,광주석산고등학교
130,광주소프트웨어마이스터고등학교
131,광주숭일고등학교
132,대덕소프트웨어마이스터고등학교
133,대전고등학교
134,대전과학고등학교
135,대전대성고등학교
136,대전동신과학고등학교
137,울산강남고등학교
138,울산고등학교
139,울산과학고등학교
140,울산두남중고등학교
141,울산마이스터고등학교
142,울산스포츠과학고등학교
143,울산애니원고등학교
144,성남고등학교
145,세종고등학교
146,세종국제고등학교
147,세종여자고등학교
148,세종하이텍고등학교
149,한솔고등학교
150,가온고등학교
151,가평고등학교
152,경기과학고등학교
153,경기관광고등학교
154,경기북과학고등학교
155,경기외국어고등학교
156,경기체육고등학교
157,경화여자고등학교
158,강릉고등학교
159,강릉중앙고등학교
160,강원고등학교
161,강원과학고등학교
162,강원생활과학고등학교
163,강원애니고등학교
164,강원예술고등학교
165,강원외국어고등학교
166,강원체육고등학교
167,강일여자고등학교
168,고성고등학교
169,고한고등학교
170,기린고등학교
171,경기고등학교
172,경기기계공업고등학교
173,경희고등학교
174,광성고등학교
